Fecha,Pais,Marca,Cliente,Ingresos,Gastos
01/01/2020 00:00,Chile,NexTec,Instituciones educativas,4613.76,3456
01/01/2020 00:00,Chile,Innovatech,Consumidores finales,33615,14566.5
01/01/2020 00:00,Chile,Cybernova,Sector publico,115952.3165,86274.045
01/01/2020 00:00,Mexico,NeuroNet,Pequenias y medianas empresas,132046.2,111150
01/01/2020 00:00,Uruguay,NeuroNet,Grandes clientes,19914.876,15398.1
03/01/2020 00:00,Mexico,Cybernova,Sector publico,598878,453960
03/01/2020 00:00,Argentina,Innovatech,Pequenias y medianas empresas,667715.4,562050
04/01/2020 00:00,Peru,NexTec,Sector publico,45046.8,23220
04/01/2020 00:00,Uruguay,Cybernova,Sector publico,125697.312,67579.2
05/01/2020 00:00,Argentina,OmegaTech,Consumidores finales,193895.3077,179245.44
05/01/2020 00:00,Uruguay,NexTec,Grandes clientes,23523.048,18970.2
07/01/2020 00:00,Mexico,Innovatech,Consumidores finales,249243.75,227880
07/01/2020 00:00,Mexico,Innovatech,Grandes clientes,4590,4050
08/01/2020 00:00,Peru,Cybernova,Consumidores finales,214808.3654,184248
09/01/2020 00:00,Mexico,NeuroNet,Pequenias y medianas empresas,418586.454,352345.5
10/01/2020 00:00,Mexico,NexTec,Consumidores finales,314921.25,304668
10/01/2020 00:00,Uruguay,Innovatech,Sector publico,16599.24,8469
11/01/2020 00:00,Argentina,NexTec,Consumidores finales,853357.5865,788881.68
11/01/2020 00:00,Uruguay,Innovatech,Pequenias y medianas empresas,1883912.904,1688094
13/01/2020 00:00,Uruguay,NeuroNet,Consumidores finales,39440.7692,17091
14/01/2020 00:00,Mexico,Innovatech,Instituciones educativas,112706.1,75137.4
14/01/2020 00:00,Peru,NexTec,Sector publico,26631.36,13315.68
15/01/2020 00:00,Mexico,NeuroNet,Grandes clientes,68646.2947,53077.032
16/01/2020 00:00,Chile,Cybernova,Sector publico,29326.3457,22524.075
17/01/2020 00:00,Chile,NeuroNet,Consumidores finales,113345.4808,96228
17/01/2020 00:00,Uruguay,OmegaTech,Pequenias y medianas empresas,325306.8,297900
18/01/2020 00:00,Argentina,NexTec,Instituciones educativas,30270.24,22932
19/01/2020 00:00,Argentina,OmegaTech,Grandes clientes,37634.5116,33206.922
20/01/2020 00:00,Peru,NeuroNet,Instituciones educativas,49630.32,33086.88
20/01/2020 00:00,Peru,Cybernova,Consumidores finales,549917.3077,354042
20/01/2020 00:00,Chile,NexTec,Grandes clientes,147622.5437,119050.4385
21/01/2020 00:00,Peru,Innovatech,Consumidores finales,271753.3774,265998.6
21/01/2020 00:00,Peru,Innovatech,Grandes clientes,17444.7,14377.5
22/01/2020 00:00,Peru,Cybernova,Instituciones educativas,12163.0005,9009.63
23/01/2020 00:00,Mexico,NeuroNet,Grandes clientes,3852.36,3321
24/01/2020 00:00,Mexico,OmegaTech,Sector publico,55172.7198,30995.91
24/01/2020 00:00,Argentina,Cybernova,Grandes clientes,48100.379,38377.962
24/01/2020 00:00,Mexico,Innovatech,Grandes clientes,42070.2984,33927.66
26/01/2020 00:00,Argentina,NeuroNet,Pequenias y medianas empresas,590733,579150
27/01/2020 00:00,Argentina,NexTec,Sector publico,92277.2088,53649.54
28/01/2020 00:00,Peru,Innovatech,Sector publico,401126.985,342505.8
