Fecha,País,Marca,Cliente, Ingresos , Gastos 
01/01/2020,Chile,NexTec,Instituciones educativas,4613.76,3456
01/01/2020,Chile,Innovatech,Consumidores finales,33615,14566.5
01/01/2020,Chile,Cybernova,Sector público,115952.32,86274.05
01/01/2020,México,NeuroNet,Pequeñas y medianas empresas,132046.2,111150
01/01/2020,Uruguay,NeuroNet,Grandes clientes,19914.88,15398.1
01/03/2020,México,Cybernova,Sector público,598878,453960
01/03/2020,Argentina,Innovatech,Pequeñas y medianas empresas,667715.4,562050
01/04/2020,Perú,NexTec,Sector público,45046.8,23220
01/04/2020,Uruguay,Cybernova,Sector público,125697.31,67579.2
01/05/2020,Argentina,OmegaTech,Consumidores finales,193895.31,179245.44
01/05/2020,Uruguay,NexTec,Grandes clientes,23523.05,18970.2
01/07/2020,México,Innovatech,Consumidores finales,249243.75,227880
01/07/2020,México,Innovatech,Grandes clientes,4590,4050
01/08/2020,Perú,Cybernova,Consumidores finales,214808.37,184248
01/09/2020,México,NeuroNet,Pequeñas y medianas empresas,418586.45,352345.5
01/10/2020,México,NexTec,Consumidores finales,314921.25,304668
01/10/2020,Uruguay,Innovatech,Sector público,16599.24,8469
01/11/2020,Argentina,NexTec,Consumidores finales,853357.59,788881.68
01/11/2020,Uruguay,Innovatech,Pequeñas y medianas empresas,1883912.9,1688094
1/13/2020,Uruguay,NeuroNet,Consumidores finales,39440.77,17091
1/14/2020,México,Innovatech,Instituciones educativas,112706.1,75137.4
1/14/2020,Perú,NexTec,Sector público,26631.36,13315.68
1/15/2020,México,NeuroNet,Grandes clientes,68646.29,53077.03
1/16/2020,Chile,Cybernova,Sector público,29326.35,22524.08
1/17/2020,Chile,NeuroNet,Consumidores finales,113345.48,96228
1/17/2020,Uruguay,OmegaTech,Pequeñas y medianas empresas,325306.8,297900
1/18/2020,Argentina,NexTec,Instituciones educativas,30270.24,22932
1/19/2020,Argentina,OmegaTech,Grandes clientes,37634.51,33206.92
1/20/2020,Perú,NeuroNet,Instituciones educativas,49630.32,33086.88
1/20/2020,Perú,Cybernova,Consumidores finales,549917.31,354042
1/20/2020,Chile,NexTec,Grandes clientes,147622.54,119050.44
1/21/2020,Perú,Innovatech,Consumidores finales,271753.38,265998.6
1/21/2020,Perú,Innovatech,Grandes clientes,17444.7,14377.5
1/22/2020,Perú,Cybernova,Instituciones educativas,12163,9009.63
1/23/2020,México,NeuroNet,Grandes clientes,3852.36,3321
1/24/2020,México,OmegaTech,Sector público,55172.72,30995.91
1/24/2020,Argentina,Cybernova,Grandes clientes,48100.38,38377.96
1/24/2020,México,Innovatech,Grandes clientes,42070.3,33927.66
1/26/2020,Argentina,NeuroNet,Pequeñas y medianas empresas,590733,579150
1/27/2020,Argentina,NexTec,Sector público,92277.21,53649.54
1/28/2020,Perú,Innovatech,Sector público,401126.99,342505.8
1/28/2020,México,Innovatech,Sector público,118571.07,68936.67
1/29/2020,Chile,OmegaTech,Sector público,721299.6,615888
1/29/2020,Uruguay,Cybernova,Pequeñas y medianas empresas,547649.1,490725
1/30/2020,Argentina,NexTec,Consumidores finales,311139.07,301008.96
1/30/2020,Chile,NexTec,Sector público,2784216.46,2377327.68
1/31/2020,Argentina,Cybernova,Instituciones educativas,16854.08,11236.05
1/31/2020,Argentina,NexTec,Instituciones educativas,99493.07,76239.9
1/31/2020,Perú,OmegaTech,Instituciones educativas,72371.63,56102.04
1/31/2020,Chile,NexTec,Sector público,67229.73,34654.5
1/31/2020,Uruguay,Cybernova,Sector público,14776.78,12132
02/01/2020,Uruguay,Innovatech,Sector público,8308.57,6313.5
02/01/2020,Argentina,OmegaTech,Sector público,821303.85,670452.12
02/03/2020,Perú,NeuroNet,Consumidores finales,99069.23,85860
02/03/2020,Argentina,NeuroNet,Grandes clientes,14346.88,11092.95
02/05/2020,Argentina,NeuroNet,Sector público,81841.97,43074.72
02/05/2020,Perú,NexTec,Sector público,599248.44,483865.2
02/06/2020,Chile,Innovatech,Instituciones educativas,59847.12,39898.08
02/08/2020,Chile,NexTec,Consumidores finales,309099.32,292239.36
02/08/2020,Argentina,NexTec,Sector público,1043280,807300
02/08/2020,Uruguay,NeuroNet,Sector público,617678.27,498746.43
02/08/2020,México,NeuroNet,Pequeñas y medianas empresas,611914.5,586125
02/08/2020,Chile,NeuroNet,Grandes clientes,24942.06,19691.1
02/09/2020,Uruguay,Cybernova,Instituciones educativas,42725.08,32739.53
02/09/2020,México,NexTec,Grandes clientes,12046.71,9219.42
02/10/2020,Perú,NexTec,Sector público,22620.96,12294
02/11/2020,Argentina,NeuroNet,Instituciones educativas,14612.4,9741.6
02/11/2020,Perú,NexTec,Sector público,1198127.7,988930.8
02/12/2020,México,NexTec,Instituciones educativas,29590.11,19926
02/12/2020,Uruguay,Cybernova,Grandes clientes,21955.75,18095.4
2/13/2020,Uruguay,OmegaTech,Consumidores finales,730620,607875.84
2/13/2020,Uruguay,OmegaTech,Pequeñas y medianas empresas,289564.85,262287
2/14/2020,Uruguay,Cybernova,Consumidores finales,224120.77,188352
2/14/2020,Argentina,NexTec,Sector público,15864.97,13025.43
2/15/2020,Argentina,OmegaTech,Sector público,85249.89,43494.84
2/15/2020,Uruguay,Cybernova,Grandes clientes,25468.67,20990.66
2/16/2020,México,Cybernova,Sector público,1828.81,1319.49
2/16/2020,Uruguay,Cybernova,Sector público,53048.63,43553.88
2/16/2020,Argentina,OmegaTech,Grandes clientes,21266.39,16110.9
2/17/2020,Chile,NexTec,Sector público,3038.73,2359.26
2/17/2020,Uruguay,Cybernova,Sector público,116626.44,66265.02
2/17/2020,Uruguay,Cybernova,Pequeñas y medianas empresas,431040.77,386237.25
2/20/2020,Perú,NexTec,Instituciones educativas,3227.58,2502
2/20/2020,México,NeuroNet,Sector público,94639.64,54390.6
2/20/2020,México,Innovatech,Pequeñas y medianas empresas,185992.2,180225
2/20/2020,Uruguay,NexTec,Grandes clientes,124228.74,94112.69
2/21/2020,Argentina,NexTec,Pequeñas y medianas empresas,254191.5,222975
2/24/2020,Perú,NeuroNet,Instituciones educativas,14111.6,9902.88
2/24/2020,Chile,NexTec,Instituciones educativas,12503.29,9365.76
2/24/2020,Perú,Cybernova,Grandes clientes,8190.07,6204.6
2/25/2020,México,OmegaTech,Consumidores finales,502678.21,326898
2/26/2020,Argentina,Innovatech,Sector público,15937.74,8757
2/28/2020,Chile,NexTec,Pequeñas y medianas empresas,765021.35,685503
2/28/2020,Argentina,OmegaTech,Grandes clientes,9849.6,7387.2
03/02/2020,Uruguay,NexTec,Sector público,118913.76,63252
03/03/2020,Chile,NexTec,Sector público,1153115.55,941318.82
03/04/2020,México,Cybernova,Consumidores finales,84214.04,71496
03/05/2020,Chile,NexTec,Instituciones educativas,43015.05,33345
03/06/2020,Chile,Innovatech,Grandes clientes,83555.22,66666.4
03/08/2020,Perú,Cybernova,Sector público,15110.55,11992.5
03/10/2020,Perú,Innovatech,Sector público,47050.11,25295.76
03/11/2020,México,NeuroNet,Sector público,8871.16,6741
03/12/2020,México,Cybernova,Instituciones educativas,35794.58,25119
03/12/2020,México,Cybernova,Sector público,2629074.42,1992884.4
03/12/2020,Chile,Innovatech,Pequeñas y medianas empresas,206193.6,199800
03/12/2020,México,NexTec,Pequeñas y medianas empresas,125307,122850
3/13/2020,Chile,OmegaTech,Sector público,15157.3,12303
3/14/2020,Chile,OmegaTech,Consumidores finales,44783.65,37260
3/16/2020,Chile,Cybernova,Consumidores finales,409388.91,391507.56
3/17/2020,Chile,NeuroNet,Sector público,635040,524160
3/18/2020,Perú,NexTec,Consumidores finales,99517.07,87156
3/18/2020,Argentina,NexTec,Pequeñas y medianas empresas,776506.5,653625
3/18/2020,Uruguay,Cybernova,Pequeñas y medianas empresas,605254.68,560421
3/19/2020,Perú,Cybernova,Sector público,6253.56,4908.6
3/20/2020,Argentina,Cybernova,Consumidores finales,400033.95,354072.6
3/21/2020,Uruguay,Cybernova,Consumidores finales,1757892.32,1507800.42
3/22/2020,Argentina,NexTec,Instituciones educativas,8042.76,6093
3/22/2020,Argentina,OmegaTech,Consumidores finales,93426.49,78516
3/22/2020,Uruguay,Cybernova,Grandes clientes,68963.4,60142.5
3/23/2020,Perú,OmegaTech,Instituciones educativas,103661.98,71245.35
3/23/2020,Chile,OmegaTech,Sector público,172695.6,145782
3/24/2020,Chile,OmegaTech,Sector público,367479,287352
3/26/2020,Argentina,OmegaTech,Grandes clientes,18715.32,16321.5
3/31/2020,Argentina,NeuroNet,Sector público,655735.5,541242
3/31/2020,Perú,NeuroNet,Sector público,1517.04,1260
3/31/2020,Argentina,NeuroNet,Sector público,119750.4,101088
3/31/2020,Argentina,NexTec,Pequeñas y medianas empresas,618178.18,559944
04/01/2020,Argentina,NexTec,Sector público,12718.08,6624
04/01/2020,México,Cybernova,Sector público,16093.67,12100.5
04/01/2020,Uruguay,NeuroNet,Grandes clientes,13145.54,10834.24
04/02/2020,Perú,NeuroNet,Instituciones educativas,27137.7,19044
04/02/2020,Perú,Cybernova,Sector público,2063.88,1620
04/03/2020,Chile,NexTec,Sector público,1489.57,1156.5
04/03/2020,Chile,OmegaTech,Sector público,19559.34,11241
04/03/2020,Uruguay,Cybernova,Grandes clientes,73205.66,61690.17
04/04/2020,Uruguay,Cybernova,Sector público,442965.6,350064
04/05/2020,Perú,NexTec,Sector público,22620.96,12294
04/06/2020,Argentina,Cybernova,Grandes clientes,14581.56,11391.84
04/07/2020,Chile,OmegaTech,Consumidores finales,223370.48,191592
04/07/2020,Chile,Cybernova,Pequeñas y medianas empresas,932062.95,853537.5
04/07/2020,Chile,OmegaTech,Pequeñas y medianas empresas,675638.06,611991
04/08/2020,Argentina,NexTec,Instituciones educativas,8696.16,6039
04/08/2020,Chile,NeuroNet,Grandes clientes,18922.9,15260.4
04/10/2020,México,Cybernova,Pequeñas y medianas empresas,318622.68,288607.5
04/10/2020,Chile,OmegaTech,Grandes clientes,95528.09,75416.91
04/11/2020,Chile,NexTec,Sector público,165186,129168
04/12/2020,Argentina,Cybernova,Instituciones educativas,8696.16,6039
4/13/2020,Argentina,OmegaTech,Consumidores finales,234934.27,217183.68
4/15/2020,México,Innovatech,Sector público,9596.16,4896
4/16/2020,Argentina,NeuroNet,Instituciones educativas,97032.13,66008.25
4/16/2020,México,OmegaTech,Sector público,30701.16,16506
4/17/2020,Uruguay,Cybernova,Sector público,672036.75,504270
4/18/2020,Uruguay,NexTec,Sector público,30513.62,22942.58
4/19/2020,Perú,NexTec,Sector público,30990.72,16842.78
4/19/2020,Argentina,Innovatech,Pequeñas y medianas empresas,2003146.2,1686150
4/20/2020,Chile,Innovatech,Instituciones educativas,29364.53,23031
4/20/2020,Chile,Innovatech,Sector público,23751.9,12501
4/21/2020,Uruguay,NeuroNet,Pequeñas y medianas empresas,242902.8,206550
4/22/2020,Argentina,NexTec,Sector público,7114.34,5841
4/24/2020,Chile,Innovatech,Instituciones educativas,25492.32,17703
4/24/2020,Perú,Cybernova,Consumidores finales,241328.21,225601.2
4/26/2020,Uruguay,Cybernova,Instituciones educativas,15826.83,11345.4
4/26/2020,Uruguay,Cybernova,Grandes clientes,19914.88,15398.1
4/27/2020,Argentina,Cybernova,Instituciones educativas,20234.61,13626
4/27/2020,Uruguay,NeuroNet,Instituciones educativas,46029.06,34870.5
4/28/2020,Uruguay,Innovatech,Consumidores finales,282005.91,263628
4/29/2020,Argentina,NeuroNet,Consumidores finales,937440,779950.08
4/29/2020,Uruguay,NeuroNet,Sector público,43931.16,24138
4/29/2020,Chile,Innovatech,Sector público,119153.97,59576.99
4/29/2020,Perú,OmegaTech,Sector público,23988.6,18624.69
4/29/2020,Argentina,NeuroNet,Grandes clientes,11143.2,9286
4/30/2020,México,Cybernova,Consumidores finales,69897.65,59341.68
05/02/2020,México,NexTec,Grandes clientes,11473.06,8780.4
05/03/2020,Chile,NexTec,Consumidores finales,349462.43,290752.74
05/03/2020,Perú,NexTec,Sector público,17717.4,10422
05/03/2020,Perú,Cybernova,Pequeñas y medianas empresas,1010671.99,957075.75
05/03/2020,Argentina,Cybernova,Grandes clientes,27643.9,22056.3
05/03/2020,Uruguay,OmegaTech,Grandes clientes,74058.36,56677.32
05/04/2020,México,NeuroNet,Consumidores finales,246281.54,232848
05/05/2020,México,NexTec,Instituciones educativas,2618.55,1918.35
05/05/2020,Chile,NexTec,Consumidores finales,116162.31,102816
05/05/2020,Uruguay,Cybernova,Sector público,47684.17,35852.76
05/05/2020,México,Cybernova,Sector público,734718.6,620217
